HOTELCODE,ACCOUNTCODE,CREATEDDATE,CHECKINDATE,CHECKOUTDATE,CANCELLATIONDATE,LASTMODIFIED,BOOKINGSTATUS,BOOKINGREFERENCE,ROOMNIGHTS,PRICE,COST,CURRENCY
CAQ246100,CVB003,15/03/2014,02/01/2015,09/01/2015,27/03/2014,21/07/2016 09:26,Cancelled,E01872913,7,577.66,529,EUR
CAK196400,CDR001,24/04/2014,13/03/2015,14/03/2015,30/04/2014,21/07/2016 09:26,Cancelled,E02026045,1,69.3,61.11,EUR
CAK196400,CDR001,24/04/2014,13/03/2015,14/03/2015,30/04/2014,21/07/2016 09:26,Cancelled,E02025784,1,69.3,61.11,EUR
CAK576300,QVU001,13/05/2014,31/01/2015,01/02/2015,13/05/2014,21/07/2016 09:26,Cancelled,E02090462,1,74.26,68,EUR
CAH696700,FTK001,15/05/2014,16/01/2015,19/01/2015,15/05/2014,21/07/2016 09:26,Cancelled,E02096138,3,150.69,138,EUR
CAH696700,FTK001,15/05/2014,16/01/2015,19/01/2015,15/05/2014,21/07/2016 09:26,Cancelled,E02097205,3,150.69,138,EUR
CAH696700,FTK001,15/05/2014,16/01/2015,19/01/2015,15/05/2014,21/07/2016 09:26,Cancelled,E02095658,3,150.69,138,EUR
CAF489100,GET001,23/06/2014,24/01/2015,25/01/2015,23/06/2014,21/07/2016 09:26,Cancelled,E02227794,1,51.05,46.75,EUR
CAH696700,GET001,14/07/2014,24/01/2015,26/01/2015,14/07/2014,21/07/2016 09:26,Cancelled,E02295751,2,102.82,96,EUR
CAF489100,PRE004,25/07/2014,20/03/2015,23/03/2015,25/07/2014,21/07/2016 09:26,Cancelled,E02337991,3,119.1,106,EUR
CAF489100,RUO001,27/07/2014,20/03/2015,23/03/2015,28/07/2014,21/07/2016 09:26,Cancelled,E02342327,6,374.24,324,EUR
CAH529700,RXL001,15/08/2014,15/04/2015,22/04/2015,15/08/2014,21/07/2016 09:26,Cancelled,C00186677,7,1328.95,1234.8,EUR
CAH785100,HSU001,25/08/2014,20/01/2015,21/01/2015,25/08/2014,21/07/2016 09:26,Cancelled,E02459983,1,48.67,45,EUR
CAF983600,JUR001,26/08/2014,11/01/2015,13/01/2015,26/08/2014,21/07/2016 09:26,Cancelled,E02466378,2,164.94,154,EUR
CAF393200,NRL001,14/07/2014,02/02/2015,06/02/2015,28/08/2014,21/07/2016 09:26,Cancelled,E02296346,4,321.32,300,EUR
CAL493700,OOL001,27/08/2014,13/03/2015,18/03/2015,29/08/2014,21/07/2016 09:26,Cancelled,E02470162,5,353.89,315,EUR
CAH696700,GET001,31/07/2014,15/01/2015,16/01/2015,29/08/2014,21/07/2016 09:26,Cancelled,E02361059,1,51.41,48,EUR
CAH696700,GET001,31/07/2014,04/01/2015,05/01/2015,30/08/2014,21/07/2016 09:26,Cancelled,E02363089,1,51.41,48,EUR
CAK196400,CDR001,30/08/2014,28/02/2015,01/03/2015,31/08/2014,21/07/2016 09:26,Cancelled,E02476684,2,107.1,100,EUR
CAH785100,URS001,31/08/2014,28/02/2015,01/03/2015,02/09/2014,21/07/2016 09:26,Cancelled,E02482366,2,103.82,96,EUR
CAH696700,GET001,04/09/2014,06/03/2015,07/03/2015,04/09/2014,21/07/2016 09:26,Cancelled,E02502117,1,53.42,48,EUR
CAF394700,BOK001,06/09/2014,03/01/2015,14/01/2015,06/09/2014,21/07/2016 09:26,Cancelled,E02507229,11,829.64,749.52,EUR
CAF489000,RHD005,09/09/2014,26/01/2015,28/01/2015,09/09/2014,21/07/2016 09:26,Cancelled,E02517798,2,203.5,190,EUR
CAK965700,JUR001,13/07/2014,11/01/2015,16/01/2015,10/09/2014,21/07/2016 09:26,Cancelled,E02294653,5,257.05,240,EUR
CAM971000,TJE002,10/09/2014,25/02/2015,28/02/2015,11/09/2014,21/07/2016 09:26,Cancelled,E02522038,6,259.58,240,EUR
CAM971000,TJE002,11/09/2014,25/02/2015,27/02/2015,11/09/2014,21/07/2016 09:26,Cancelled,E02527651,4,173.05,160,EUR
CAL404900,VES002,15/07/2014,04/01/2015,05/01/2015,14/09/2014,21/07/2016 09:26,Cancelled,E02300524,1,58.91,55,EUR
CAK184800,PMM002,15/09/2014,20/01/2015,22/01/2015,15/09/2014,21/07/2016 09:26,Cancelled,E02544258,2,216.22,198,EUR
CAO553800,KAH003,27/07/2014,17/02/2015,22/02/2015,15/09/2014,21/07/2016 09:26,Cancelled,E02342721,5,1103.2,1060.4,EUR
CAF552100,EZE003,02/09/2014,14/05/2015,17/05/2015,15/09/2014,21/07/2016 09:26,Cancelled,C00197294,3,437.34,406.35,EUR
CAM967500,HAP001,25/08/2014,23/03/2015,27/03/2015,18/09/2014,21/07/2016 09:26,Cancelled,E02460115,4,210.6,184,EUR
CAF392800,GTP001,08/09/2014,23/07/2015,27/07/2015,18/09/2014,21/07/2016 09:26,Cancelled,E02514252,4,1399.4,1288,EUR
CAF489100,URS001,10/07/2014,03/01/2015,06/01/2015,23/09/2014,21/07/2016 09:26,Cancelled,E02286331,3,111.38,104,EUR
CAF489100,DRL001,18/07/2014,20/02/2015,23/02/2015,23/09/2014,21/07/2016 09:26,Cancelled,E02312640,3,116.87,106,EUR
CAF489000,RHD005,23/09/2014,20/01/2015,22/01/2015,23/09/2014,21/07/2016 09:26,Cancelled,E02574068,2,203.5,190,EUR
CAM967500,GET001,23/09/2014,27/03/2015,28/03/2015,23/09/2014,21/07/2016 09:26,Cancelled,E02579533,1,49.27,46,EUR
CAF489000,RHD005,24/09/2014,20/01/2015,22/01/2015,24/09/2014,21/07/2016 09:26,Cancelled,E02581589,2,203.5,190,EUR
CAF489000,PMM002,24/09/2014,20/01/2015,22/01/2015,24/09/2014,21/07/2016 09:26,Cancelled,E02585029,2,207.48,190,EUR
CAL822900,GET001,25/09/2014,02/05/2015,03/05/2015,25/09/2014,21/07/2016 09:26,Cancelled,E02588730,1,86.61,79.31,EUR
CAF489000,PMM002,26/09/2014,20/01/2015,22/01/2015,26/09/2014,21/07/2016 09:26,Cancelled,E02592930,2,207.48,190,EUR
CAF489100,PRE004,24/09/2014,20/03/2015,24/03/2015,28/09/2014,21/07/2016 09:26,Cancelled,E02587623,8,453.93,428,EUR
CAG671700,GET001,29/09/2014,04/05/2015,05/05/2015,29/09/2014,21/07/2016 09:26,Cancelled,E02604196,1,78.62,72,EUR
CAL404900,LCG001,12/09/2014,09/01/2015,10/01/2015,30/09/2014,21/07/2016 09:26,Cancelled,E02535801,4,233.32,220,EUR
CAF489100,PRE004,30/09/2014,19/03/2015,24/03/2015,01/10/2014,21/07/2016 09:26,Cancelled,E02612240,10,466.65,440,EUR
CAF489100,FCT001,11/08/2014,10/01/2015,13/01/2015,01/10/2014,21/07/2016 09:26,Cancelled,E02400518,3,175.3,159,EUR
CAF489000,OOT005,30/09/2014,04/09/2015,06/09/2015,01/10/2014,21/07/2016 09:26,Cancelled,E02602833,2,274.44,251.32,EUR
CAF489000,RHD005,02/10/2014,20/01/2015,22/01/2015,02/10/2014,21/07/2016 09:26,Cancelled,E02615730,2,203.5,190,EUR
CAF489000,PMM002,03/10/2014,20/01/2015,22/01/2015,03/10/2014,21/07/2016 09:26,Cancelled,E02618879,2,207.48,190,EUR
CAK196400,URS002,31/08/2014,28/02/2015,01/03/2015,05/10/2014,21/07/2016 09:26,Cancelled,E02482786,2,107.1,100,EUR
CAK196400,PMM002,07/10/2014,02/01/2015,04/01/2015,07/10/2014,21/07/2016 09:26,Cancelled,E02638335,2,109.2,100,EUR
CAF392800,PMM002,08/10/2014,18/03/2015,21/03/2015,08/10/2014,21/07/2016 09:26,Cancelled,E02638589,3,846.87,810,EUR
CAF395100,PMM002,08/10/2014,19/02/2015,21/02/2015,08/10/2014,21/07/2016 09:26,Cancelled,E02638345,2,186.74,171,EUR
CAL038300,JUR001,19/09/2014,01/05/2015,15/05/2015,08/10/2014,21/07/2016 09:26,Cancelled,E02566526,14,605.42,540.9,EUR
CAL493900,INT001,09/10/2014,20/01/2015,22/01/2015,09/10/2014,21/07/2016 09:26,Cancelled,E02649474,2,148.48,140,EUR
CAF489100,DWO001,15/03/2014,03/01/2015,08/01/2015,10/10/2014,21/07/2016 09:26,Cancelled,E01871475,5,287.18,263,EUR
CAM971000,PRE004,26/09/2014,02/03/2015,05/03/2015,13/10/2014,21/07/2016 09:26,Cancelled,E02595975,3,612.36,540,EUR
CAL822900,PRE004,26/09/2014,06/03/2015,09/03/2015,13/10/2014,21/07/2016 09:26,Cancelled,E02594032,3,186.36,174,EUR
CAF489200,MER005,03/10/2014,06/02/2015,10/02/2015,13/10/2014,21/07/2016 09:26,Cancelled,E02626038,4,244.32,230.4,EUR
CAM971000,PRE004,26/09/2014,02/03/2015,05/03/2015,13/10/2014,21/07/2016 09:26,Cancelled,E02595254,3,612.36,540,EUR
CAM971000,OOT005,26/09/2014,02/03/2015,05/03/2015,13/10/2014,21/07/2016 09:26,Cancelled,E02594837,3,612.36,540,EUR
CAM971000,OOT005,26/09/2014,02/03/2015,05/03/2015,13/10/2014,21/07/2016 09:26,Cancelled,E02594268,3,612.36,540,EUR
CAM971000,PRE004,03/10/2014,29/01/2015,03/02/2015,14/10/2014,21/07/2016 09:26,Cancelled,E02623144,5,216.3,200,EUR
CAF489100,FCT001,16/10/2014,21/02/2015,23/02/2015,16/10/2014,21/07/2016 09:26,Cancelled,E02670458,4,193.28,177,EUR
CAI308700,FTK001,16/10/2014,28/03/2015,31/03/2015,16/10/2014,21/07/2016 09:26,Cancelled,E02675372,3,276.78,261,EUR
CAK981400,OOT005,27/09/2014,20/01/2015,22/01/2015,17/10/2014,21/07/2016 09:26,Cancelled,E02594847,2,110.3,104,EUR
CAK981400,OOT005,27/09/2014,20/01/2015,22/01/2015,17/10/2014,21/07/2016 09:26,Cancelled,E02593568,2,110.3,104,EUR
CAF394600,HSU001,23/09/2014,08/03/2015,15/03/2015,17/10/2014,21/07/2016 09:26,Cancelled,E02576197,14,1512.26,1426,EUR
CAF489100,PRE004,23/09/2014,19/02/2015,23/02/2015,19/10/2014,21/07/2016 09:26,Cancelled,E02580725,4,226.96,214,EUR
CAM967500,PRE004,09/10/2014,27/03/2015,29/03/2015,20/10/2014,21/07/2016 09:26,Cancelled,E02646707,2,98.54,92,EUR
CAF489100,FTK001,17/10/2014,13/03/2015,16/03/2015,20/10/2014,21/07/2016 09:26,Cancelled,E02677050,3,112.42,106,EUR
CAG671700,LSN001,03/10/2014,01/03/2015,05/03/2015,20/10/2014,21/07/2016 09:26,Cancelled,E02626211,4,797.88,716.88,EUR
CAF395100,GTP001,02/10/2014,23/04/2015,26/04/2015,20/10/2014,21/07/2016 09:26,Cancelled,E02617716,3,468.48,429,EUR
CAF395100,GTP001,02/10/2014,23/04/2015,26/04/2015,20/10/2014,21/07/2016 09:26,Cancelled,E02617715,3,468.48,429,EUR
CAK196400,PPI001,10/10/2014,01/03/2015,04/03/2015,20/10/2014,21/07/2016 09:26,Cancelled,E02650477,3,667.8,600,EUR
CAG671700,LSN001,03/10/2014,01/03/2015,05/03/2015,20/10/2014,21/07/2016 09:26,Cancelled,E02625646,16,3191.52,2867.52,EUR
CAF489000,EMV001,21/10/2014,18/06/2015,20/06/2015,21/10/2014,21/07/2016 09:26,Cancelled,E02693590,8,1371.52,1256,EUR
CAF489000,EMV001,21/10/2014,18/06/2015,20/06/2015,21/10/2014,21/07/2016 09:26,Cancelled,E02696801,2,342.88,314,EUR
CAK439000,TGF001,21/10/2014,24/03/2015,27/03/2015,21/10/2014,21/07/2016 09:26,Cancelled,E02695242,3,153.6,138,EUR
CAK439000,TGF001,21/10/2014,24/03/2015,27/03/2015,21/10/2014,21/07/2016 09:26,Cancelled,E02695183,3,180.3,162,EUR
CAK438900,PRE004,24/07/2014,03/01/2015,04/01/2015,21/10/2014,21/07/2016 09:26,Cancelled,E02334794,1,36.77,34,EUR
CAF392900,ICC002,30/09/2014,19/09/2015,21/09/2015,22/10/2014,21/07/2016 09:26,Cancelled,C00216704,2,294.7,273.83,EUR
CAH529700,MER002,22/10/2014,21/01/2015,25/01/2015,23/10/2014,21/07/2016 09:26,Cancelled,E02700409,4,475.88,440,EUR
CAH696700,LCG001,22/10/2014,18/08/2015,19/08/2015,23/10/2014,21/07/2016 09:26,Cancelled,E02696223,1,73.16,67,EUR
CAF489100,FTK001,23/10/2014,02/01/2015,09/01/2015,23/10/2014,21/07/2016 09:26,Cancelled,E02701101,7,261.71,242,EUR
CAH696700,LCG001,26/09/2014,23/07/2015,24/07/2015,23/10/2014,21/07/2016 09:26,Cancelled,E02597088,1,73.16,67,EUR
CAL404900,LCG001,19/08/2014,15/06/2015,16/06/2015,23/10/2014,21/07/2016 09:26,Cancelled,E02436652,1,120.86,105.6,EUR
CAM967500,PRE004,10/10/2014,02/01/2015,06/01/2015,24/10/2014,21/07/2016 09:26,Cancelled,E02649838,4,197.08,184,EUR
CAM971000,JUR001,24/10/2014,06/02/2015,11/02/2015,24/10/2014,21/07/2016 09:26,Cancelled,E02707648,5,220.5,200,EUR
CAG671700,PRE004,09/10/2014,22/02/2015,24/02/2015,25/10/2014,21/07/2016 09:26,Cancelled,E02646072,2,82.46,77,EUR
CAL822900,PRE004,24/10/2014,13/05/2015,17/05/2015,27/10/2014,21/07/2016 09:26,Cancelled,E02706655,12,985.32,902.28,EUR
CAL822900,PRE004,24/10/2014,13/05/2015,17/05/2015,27/10/2014,21/07/2016 09:26,Cancelled,E02706353,12,1039.32,951.72,EUR
CAF393400,SMV001,24/10/2014,22/05/2015,25/05/2015,27/10/2014,21/07/2016 09:26,Cancelled,E02707940,6,1166.42,1048,EUR
CAL822900,PRE004,24/10/2014,13/05/2015,17/05/2015,27/10/2014,21/07/2016 09:26,Cancelled,E02706654,4,346.44,317.24,EUR
CAF393400,SMV001,24/10/2014,16/05/2015,17/05/2015,27/10/2014,21/07/2016 09:26,Cancelled,E02703188,2,400.68,360,EUR
CAL493800,DWI001,20/10/2014,01/01/2015,03/01/2015,27/10/2014,21/07/2016 09:26,Cancelled,C00230621,4,372.93,346.5,EUR
CAH696700,IRR001,27/10/2014,06/02/2015,09/02/2015,27/10/2014,21/07/2016 09:26,Cancelled,E02715984,3,161.79,144,EUR
CAF393400,PRE004,28/10/2014,04/02/2015,05/02/2015,28/10/2014,21/07/2016 09:26,Cancelled,E02718885,1,94.09,87,EUR
CAK536700,SMV001,24/10/2014,02/05/2015,03/05/2015,28/10/2014,21/07/2016 09:26,Cancelled,E02705282,1,95.26,84,EUR
CAF489200,PRE004,18/10/2014,24/02/2015,27/02/2015,28/10/2014,21/07/2016 09:26,Cancelled,E02682904,3,193.44,182.4,EUR
CAK216900,OOT005,28/10/2014,21/03/2015,22/03/2015,29/10/2014,21/07/2016 09:26,Cancelled,E02710647,3,178.44,165,EUR
CAK216900,OOT005,28/10/2014,21/03/2015,22/03/2015,29/10/2014,21/07/2016 09:26,Cancelled,E02710648,2,118.96,110,EUR
CAF489100,RUO001,29/10/2014,30/01/2015,05/02/2015,30/10/2014,21/07/2016 09:26,Cancelled,E02717884,6,353.96,318,EUR
CAH529700,OOT005,31/10/2014,22/08/2015,25/08/2015,31/10/2014,21/07/2016 09:26,Cancelled,E02721849,3,445.53,408,EUR
CAF489100,PRE004,30/10/2014,15/01/2015,18/01/2015,31/10/2014,21/07/2016 09:26,Cancelled,E02730314,6,350.39,324,EUR
CAF489100,HOC002,02/10/2014,20/02/2015,23/02/2015,01/11/2014,21/07/2016 09:26,Cancelled,E02618662,6,343.62,324,EUR
CAG929300,RHD005,03/11/2014,03/06/2015,11/06/2015,03/11/2014,21/07/2016 09:26,Cancelled,E02739297,8,694.54,624,EUR
CAV527300,PTI005,15/10/2014,01/03/2015,05/03/2015,03/11/2014,21/07/2016 09:26,Cancelled,E02671215,4,524.5,506.64,EUR
CAV527300,PTI005,15/10/2014,01/03/2015,05/03/2015,03/11/2014,21/07/2016 09:26,Cancelled,E02671547,4,524.5,506.64,EUR
CAM971000,JUR001,07/10/2014,20/02/2015,23/02/2015,03/11/2014,21/07/2016 09:26,Cancelled,E02637168,3,129.78,120,EUR
CAV527300,PTI005,15/10/2014,01/03/2015,05/03/2015,03/11/2014,21/07/2016 09:26,Cancelled,E02672655,4,524.5,506.64,EUR
CAH785100,TBQ001,04/11/2014,06/02/2015,09/02/2015,04/11/2014,21/07/2016 09:26,Cancelled,E02743440,3,147.43,135,EUR
CAM967500,PRE004,25/09/2014,12/01/2015,14/01/2015,04/11/2014,21/07/2016 09:26,Cancelled,E02588585,2,98.54,92,EUR
CAK196400,PRE004,04/11/2014,22/01/2015,23/01/2015,04/11/2014,21/07/2016 09:26,Cancelled,E02744630,1,54.08,50,EUR
CAK196400,PRE004,04/11/2014,22/01/2015,23/01/2015,04/11/2014,21/07/2016 09:26,Cancelled,E02744801,1,54.08,50,EUR
CAH696700,SLO001,04/11/2014,10/03/2015,12/03/2015,04/11/2014,21/07/2016 09:26,Cancelled,E02743052,2,105.84,96,EUR
CAL822900,OOT012,17/10/2014,16/07/2015,18/07/2015,05/11/2014,21/07/2016 09:26,Cancelled,E02681062,4,318.89,292,EUR
CAK576300,URS001,29/09/2014,12/01/2015,14/01/2015,05/11/2014,21/07/2016 09:26,Cancelled,E02605027,2,118.78,112,EUR
CAK576300,URS001,29/09/2014,12/01/2015,14/01/2015,05/11/2014,21/07/2016 09:26,Cancelled,E02606498,2,118.78,112,EUR
CAK576300,URS001,29/09/2014,12/01/2015,14/01/2015,05/11/2014,21/07/2016 09:26,Cancelled,E02607496,2,118.78,112,EUR
CAK576300,URS001,29/09/2014,12/01/2015,14/01/2015,05/11/2014,21/07/2016 09:26,Cancelled,E02606078,2,118.78,112,EUR
CAK576300,URS001,29/09/2014,12/01/2015,14/01/2015,05/11/2014,21/07/2016 09:26,Cancelled,E02607410,2,118.78,112,EUR
CAF489100,JUA001,28/10/2014,25/03/2015,27/03/2015,06/11/2014,21/07/2016 09:26,Cancelled,E02716918,2,112.48,104,EUR
CAF394600,SMV001,07/11/2014,01/06/2015,03/06/2015,07/11/2014,21/07/2016 09:26,Cancelled,E02761010,2,244.94,216,EUR
CAF393200,GTP001,06/11/2014,12/07/2015,16/07/2015,07/11/2014,21/07/2016 09:26,Cancelled,E02755401,4,327.6,300,EUR
CAF489100,EDR001,07/11/2014,16/01/2015,18/01/2015,07/11/2014,21/07/2016 09:26,Cancelled,E02756670,2,77.86,72,EUR
CAF489100,DWO001,08/11/2014,14/01/2015,22/01/2015,08/11/2014,21/07/2016 09:26,Cancelled,E02762391,8,410.72,379.8,EUR
CAF489100,PMM002,09/11/2014,11/02/2015,15/02/2015,09/11/2014,21/07/2016 09:26,Cancelled,E02758433,4,218.4,192.6,EUR
CAF489100,PRE004,09/11/2014,08/01/2015,12/01/2015,09/11/2014,21/07/2016 09:26,Cancelled,E02760787,8,416.56,385.2,EUR
CAF489100,PRE004,06/11/2014,08/01/2015,12/01/2015,09/11/2014,21/07/2016 09:26,Cancelled,E02752536,4,231.44,214,EUR
CAF489100,PRE004,06/11/2014,08/01/2015,12/01/2015,09/11/2014,21/07/2016 09:26,Cancelled,E02753311,4,231.44,214,EUR
CAM971000,PRE004,06/11/2014,14/01/2015,16/01/2015,10/11/2014,21/07/2016 09:26,Cancelled,E02753351,2,66.16,60,EUR
CAL038300,OOT012,30/10/2014,07/06/2015,10/06/2015,11/11/2014,21/07/2016 09:26,Cancelled,E02724527,3,126.87,114,EUR
CAF489000,OOT005,28/10/2014,03/07/2015,05/07/2015,11/11/2014,21/07/2016 09:26,Cancelled,E02715267,2,274.44,251.32,EUR
CAF488900,URS001,10/11/2014,20/01/2015,22/01/2015,11/11/2014,21/07/2016 09:26,Cancelled,E02769256,2,202.46,187.2,EUR
CAF489100,FTK001,12/11/2014,06/01/2015,11/01/2015,12/11/2014,21/07/2016 09:26,Cancelled,E02779034,5,169.35,156.6,EUR
CAM971000,PRE004,11/11/2014,07/02/2015,10/02/2015,12/11/2014,21/07/2016 09:26,Cancelled,E02771206,3,132.3,120,EUR
CAF489100,ICZ001,10/11/2014,01/01/2015,05/01/2015,12/11/2014,21/07/2016 09:26,Cancelled,E02769267,4,208.28,192.6,EUR
CAU842700,AED001,13/10/2014,19/02/2015,23/02/2015,13/11/2014,21/07/2016 09:26,Cancelled,C00221383,8,1827.34,1697.88,EUR
CAF489100,FTK001,12/11/2014,08/01/2015,11/01/2015,13/11/2014,21/07/2016 09:26,Cancelled,E02780231,3,103.17,95.4,EUR
CAF489100,PTI005,12/11/2014,08/03/2015,10/03/2015,13/11/2014,21/07/2016 09:26,Cancelled,E02778645,2,101.22,93.6,EUR
CAM971000,PRE004,13/11/2014,07/01/2015,09/01/2015,13/11/2014,21/07/2016 09:26,Cancelled,E02780722,2,88.2,80,EUR
CAQ246100,PRE004,13/11/2014,06/03/2015,09/03/2015,13/11/2014,21/07/2016 09:26,Cancelled,E02782908,3,222.9,206.1,EUR
CAF394700,SMV001,14/11/2014,17/01/2015,24/01/2015,14/11/2014,21/07/2016 09:26,Cancelled,E02788470,7,476.84,428.4,EUR
CAL822900,FTK001,13/11/2014,11/06/2015,16/06/2015,14/11/2014,21/07/2016 09:26,Cancelled,E02780303,10,834.14,763.86,EUR
CAF489100,PGS001,14/11/2014,02/02/2015,09/02/2015,14/11/2014,21/07/2016 09:26,Cancelled,E02789744,7,235.53,217.8,EUR
CAF489100,FTK001,14/11/2014,09/02/2015,11/02/2015,14/11/2014,21/07/2016 09:26,Cancelled,E02784631,2,66.18,61.2,EUR
CAF489100,SLX001,20/10/2014,06/01/2015,20/01/2015,14/11/2014,21/07/2016 09:26,Cancelled,E02690471,14,523.42,484,EUR
CAI954700,FHR001,15/11/2014,11/01/2015,16/01/2015,15/11/2014,21/07/2016 09:26,Cancelled,E02791706,5,806.3,775,EUR
CAQ321400,PRE004,15/11/2014,20/03/2015,25/03/2015,15/11/2014,21/07/2016 09:26,Cancelled,E02791187,5,613.71,589.9,EUR
CAF983200,LOH003,13/11/2014,11/02/2015,15/02/2015,15/11/2014,21/07/2016 09:26,Cancelled,E02785097,4,418.76,387.2,EUR
CAF489100,PRE004,28/10/2014,26/03/2015,01/04/2015,16/11/2014,21/07/2016 09:26,Cancelled,E02717656,6,343.92,318,EUR
CAF489100,OPH001,03/11/2014,06/03/2015,07/03/2015,17/11/2014,21/07/2016 09:26,Cancelled,E02739236,1,61.22,55,EUR
CAM967500,JUR001,17/11/2014,19/03/2015,26/03/2015,17/11/2014,21/07/2016 09:26,Cancelled,E02799385,14,703.22,644,EUR
CAF489100,PRE004,15/09/2014,06/03/2015,09/03/2015,17/11/2014,21/07/2016 09:26,Cancelled,E02543664,3,171.81,162,EUR
CAG929300,PRE004,01/10/2014,01/01/2015,05/01/2015,17/11/2014,21/07/2016 09:26,Cancelled,E02614628,4,212.06,198,EUR
CAK196400,RHD005,25/09/2014,02/01/2015,06/01/2015,17/11/2014,21/07/2016 09:26,Cancelled,E02589533,4,214.2,200,EUR
CAM971000,PRE004,08/11/2014,23/02/2015,25/02/2015,17/11/2014,21/07/2016 09:26,Cancelled,E02762088,2,66.16,60,EUR
CAL493800,LOH003,17/11/2014,10/03/2015,17/03/2015,17/11/2014,21/07/2016 09:26,Cancelled,E02796228,7,714.88,661,EUR
CAF489000,PRE004,09/10/2014,01/01/2015,03/01/2015,17/11/2014,21/07/2016 09:26,Cancelled,E02644416,4,354.36,330.88,EUR
CAK576300,RHD005,07/11/2014,27/03/2015,29/03/2015,17/11/2014,21/07/2016 09:26,Cancelled,E02756404,4,294.16,272,EUR
CAF489100,PRE004,17/11/2014,21/02/2015,24/02/2015,18/11/2014,21/07/2016 09:26,Cancelled,E02797361,3,101.22,93.6,EUR
CAF488800,OOT005,18/11/2014,23/03/2015,24/03/2015,18/11/2014,21/07/2016 09:26,Cancelled,E02797889,1,54.51,50.4,EUR
CAH785100,OOT005,18/11/2014,12/01/2015,16/01/2015,18/11/2014,21/07/2016 09:26,Cancelled,E02801955,4,209.68,192,EUR
CAF489000,OOT012,18/09/2014,21/08/2015,23/08/2015,18/11/2014,21/07/2016 09:26,Cancelled,E02560041,2,274.44,251.32,EUR
CAF983400,SMV001,10/11/2014,05/01/2015,08/01/2015,18/11/2014,21/07/2016 09:26,Cancelled,E02765764,3,220.38,198,EUR
CAF489100,LOE001,19/11/2014,05/02/2015,08/02/2015,19/11/2014,21/07/2016 09:26,Cancelled,E02809303,3,103.17,95.4,EUR
CAG671700,MRO003,19/11/2014,16/01/2015,18/01/2015,19/11/2014,21/07/2016 09:26,Cancelled,E02809281,2,130.32,116,EUR
CAM967500,KAH003,19/11/2014,15/03/2015,18/03/2015,19/11/2014,21/07/2016 09:26,Cancelled,E02810171,3,150.69,138,EUR
CAM971000,JUR001,19/11/2014,05/01/2015,11/01/2015,19/11/2014,21/07/2016 09:26,Cancelled,E02809034,6,198.48,180,EUR
CAF489100,SPT002,31/10/2014,08/01/2015,13/01/2015,20/11/2014,21/07/2016 09:26,Cancelled,E02732058,5,293.27,266,EUR
CAM971000,RHD005,19/11/2014,19/03/2015,22/03/2015,20/11/2014,21/07/2016 09:26,Cancelled,E02805370,3,148.83,135,EUR
CAK439000,PRE004,20/11/2014,08/01/2015,11/01/2015,20/11/2014,21/07/2016 09:26,Cancelled,E02812340,3,165.11,151.2,EUR
CAK439000,PRE004,18/11/2014,09/01/2015,12/01/2015,20/11/2014,21/07/2016 09:26,Cancelled,E02802638,3,165.11,151.2,EUR
CAK610500,GTP001,18/11/2014,26/04/2015,30/04/2015,21/11/2014,21/07/2016 09:26,Cancelled,C00251262,4,599.24,556.79,EUR
CAV094800,AHE001,21/11/2014,05/02/2015,08/02/2015,21/11/2014,21/07/2016 09:26,Cancelled,C00254444,3,192.22,178.6,EUR
CAF489100,HOC002,06/11/2014,27/03/2015,30/03/2015,21/11/2014,21/07/2016 09:26,Cancelled,E02755935,3,175.2,162,EUR
CAF394400,HBD001,21/11/2014,02/01/2015,12/01/2015,21/11/2014,21/07/2016 09:26,Cancelled,E02816043,10,1362.82,1165.6,EUR
CAF489000,OPH001,20/11/2014,04/01/2015,05/01/2015,23/11/2014,21/07/2016 09:26,Cancelled,E02816358,1,104.74,95,EUR
CAM967500,HSU001,24/10/2014,16/01/2015,18/01/2015,24/11/2014,21/07/2016 09:26,Cancelled,E02709311,2,100.46,92,EUR
CAF489100,AIG001,24/11/2014,24/01/2015,25/01/2015,24/11/2014,21/07/2016 09:26,Cancelled,E02825005,1,35.04,32.4,EUR
CAI308700,INT001,06/10/2014,03/01/2015,06/01/2015,25/11/2014,21/07/2016 09:26,Cancelled,E02635093,3,267.24,252,EUR
CAF395100,GTP001,25/11/2014,22/06/2015,25/06/2015,25/11/2014,21/07/2016 09:26,Cancelled,E02831323,3,468.48,429,EUR
CAM971000,PRE004,24/09/2014,19/02/2015,22/02/2015,25/11/2014,21/07/2016 09:26,Cancelled,E02585027,3,97.35,90,EUR
CAF395100,GTP001,25/11/2014,22/06/2015,25/06/2015,25/11/2014,21/07/2016 09:26,Cancelled,E02827299,3,468.48,429,EUR
CAF489000,GTP001,13/11/2014,15/05/2015,17/05/2015,26/11/2014,21/07/2016 09:26,Cancelled,E02776359,2,342.88,314,EUR
CAM967500,HAP001,17/11/2014,09/05/2015,16/05/2015,26/11/2014,21/07/2016 09:26,Cancelled,E02791689,7,598.33,530.32,EUR
CAF489100,URS001,12/11/2014,03/01/2015,06/01/2015,26/11/2014,21/07/2016 09:26,Cancelled,E02777163,3,101.22,93.6,EUR
CAV519500,UGI002,20/11/2014,02/01/2015,05/01/2015,26/11/2014,21/07/2016 09:26,Cancelled,E02812033,6,802.83,732,EUR
